_H:	|epc_ctr	|Epoch	cpy_cnt_sum_Outp_se_0	sum_lst_cycles	|epoch	gn_pos		gn_neg		gn_A_R1		gn_B_R1		
_D:	1	0	0		100		1	22.9665		0.0432309	10.8817		0.0357626	
_D:	1	0	0		100		2	25.6588		0.0255516	12.2469		0.0191702	
_D:	1	0	0		100		3	25.2172		0.0962787	11.2936		0.0849417	
_D:	1	0	0		100		4	23.9442		0.176842	10.4791		0.168922	
_D:	1	0	0		100		5	25.0402		0.155962	11.9574		0.133275	
_D:	1	0	1		100		6	8.72168		7.03041		0.904317	0.144809	
_D:	1	0	0		100		7	16.7628		5.50661		6.11696		0.0594558	
_D:	1	0	0		100		8	25.2664		0.277072	11.0738		0.152267	
_D:	1	0	0		100		9	24.7024		0.410235	10.5842		0.357198	
_D:	1	0	0		100		10	24.9946		0.342622	11.0786		0.312994	
_D:	1	0	0		100		11	18.7234		6.37408		7.51479		0.467799	
_D:	1	0	0		100		12	28.912		0.573187	12.6651		0.386398	
_D:	1	0	0		100		13	14.4883		6.1429		4.82017		0.336203	
_D:	1	0	1		100		14	9.90537		6.71888		1.42713		0.386742	
_D:	1	0	1		100		15	11.153		6.179		1.82027		0.886772	
_D:	1	0	1		100		16	8.74189		4.31417		1.27781		0.903982	
